chave,valor
2,ALAG NOVO
1,ALAGADICO
3,ALDEOTA
4,ALTO ALEGRE
5,ALTO BALANC
6,ALVARO WEYN
7,AMADEU FURT
8,ANT BEZERRA
9,ANT DIOGO
1,Alagadiço
2,Alagadiço Novo
3,Aldeota
4,Alto Alegre
5,Alto da Balança
6,Alvaro Weyne
7,Amadeu Furtado
8,Antonio Bezerra
9,Antonio Diogo
10,BARRA CEARA
11,BELA VISTA
12,BENFICA
13,BOM FUTURO
14,BOM JARDIM
15,BONSUCESSO
10,Barra do Ceara
11,Bela Vista
12,Benfica
13,Bom Futuro
14,Bom Jardim
15,Bonsucesso
24,C ESPERANCA
16,CACHOEIRINH
17,CAJAZEIRAS
18,CAMBEBA
19,CASTELAO
20,CENTRO
21,CIDADE FUNC
22,COCO
23,CONJ CEARA
25,CR REDENTOR
16,Cachoeirinha
17,Cajazeiras
18,Cambeba
19,Castelao
20,Centro
21,Cidade dos Funcionari
22,Coco
23,Conjunto Ceara
24,Conjunto Esperança
25,Cristo Redentor
999997,Código não encontrado nos dicionários oficiais.
9997,Código não encontrado nos dicionários oficiais.
99,Código não encontrado nos dicionários oficiais.
26,DAMAS
27,DEMOC ROCHA
28,DIAS MACEDO
29,DION TORRES
26,Damas
27,Democrito Rocha
28,Dias Macedo
29,Dionisio Torres
30,ED QUEIROZ
30,Edson Queiroz
31,FARIAS BRIT
32,FATIMA
0,FORA DO CE
31,Farias Brito
32,Fatima
33,GENIBAU
34,GR PORTUGAL
33,Genibau
34,Granja Portugal
35,HENR JORGE
35,Henrique Jorge
-1,IGNORADO
36,ITAPERI
,Ignorado
36,Itaperi
39,J AMERICA
42,J BONIFACIO
37,JACARECANGA
38,JANGURUSSU
40,JOAQ TAVORA
41,JOQUEI CLUB
37,Jacarecanga
38,Jangurussu
39,Jardim America
40,Joaquim Tavora
41,Joquei Clube
42,Jose Bonifacio
43,LAG REDONDA
43,Lagoa Redonda
49,M CASTELO
44,MAN SATIRO
45,MARAPONGA
46,MEIRELES
47,MESSEJANA
48,MONDUBIM
50,MONTESE
51,MOURA BRASI
52,MUCURIPE
44,Manuel Satiro
45,Maraponga
46,Meireles
47,Messejana
48,Mondubim
49,Monte Castelo
50,Montese
51,Moura Brasil
52,Mucuripe
99,OUTROS CE
9999,Outros Municípios do Ceará
55,P PR VARGAS
56,P SAO JOSE
53,PAPICU
54,PARANGABA
57,PARQUELANDI
58,PASSARE
61,PF J WALTER
59,PICI
60,PR IRACEMA
62,PRES T NEVE
53,Papicu
54,Parangaba
55,Parque Presidente Var
56,Parque Sao Jose
57,Parquelandia
58,Passare
59,Pici
60,Praia de Iracema
61,Prefeito Jose Walter
62,Presidente Tancredo N
63,ROD TEOFILO
63,Rodolfo Teofilo
64,SERRINHA
64,Serrinha
65,TAUAPE
65,Tauape
66,VARJOTA
67,VICEN PINZO
68,VILA ELLERY
69,VILA PERI
70,VILA UNIAO
71,VILA VELHA
66,Varjota
67,Vicente Pinzon
68,Vila Ellery
69,Vila Peri
70,Vila União
71,Vila Velha
