chave,valor
10,A COSMOS
0,A Cosmos
20,A SANTA
30,ABOLICAO
40,ACARI
50,ANCHIETA
60,ANDARAI
70,ANIL
80,AT B VISTA
30,Abolicao
2,Aboliçao
40,Acari
3,Acari
1,Agua Santa
20,Agua Santa
80,Alto da Boa Vista
7,Alto da Boa Vista
50,Anchieta
4,Anchieta
60,Andarai
5,Andaraí
70,Anil
6,Anil
10,Araujo de Cosmos
90,B FILHO
100,B GUANABARA
110,B GUARATIBA
9,B Guanabara
120,B PINA
130,B RIBEIRO
140,B TIJUCA
150,BANCARIOS
160,BANGU
170,BENFICA
180,BONSUCESSO
190,BOTAFOGO
100,Baia de Guanabara
150,Bancarios
14,Bancários
160,Bangu
15,Bangu
13,Barra da Tijuca
140,Barra da Tijuca
110,Barra de Guaratiba
10,Barra de Guarativa
8,Barros Filho
90,Barros Filho
16,Benfica
170,Benfica
130,Bento Ribeiro
12,Bento Ribeiro
180,Bonsucesso
17,Bonsucesso
18,Botafogo
190,Botafogo
120,Bras de Pina
11,Brás de Pina
200,C BARROS
210,C DEUS
220,C FALSO
21,C Falso
230,C NETO
240,C NOVA
250,C UNIVERSIT
260,C VELHO
270,CACHAMBI
280,CACHAMORRA
290,CACUIA
300,CAJU
310,CAMORIM
320,CAMPINHO
330,CASCADURA
340,CATETE
350,CATUMBI
360,CAVALCANTI
370,CENTRO
380,COCOTA
390,COLEGIO
400,COPACABANA
410,CORDOVIL
420,COSMOS
430,CPO AFONSOS
440,CPO GRANDE
450,CURICICA
270,Cachambi
26,Cachambi
280,Cachamorra (desativada na revisão feita na compe
28,Cacuia
290,Cacuia
29,Caju
300,Caju
30,Camorim
310,Camorim
31,Campinho
320,Campinho
440,Campo Grande
43,Campo Grande
430,Campo dos Afonsos
42,Campo dos Afonsos
32,Cascadura
330,Cascadura
33,Catete
340,Catete
34,Catumbi
350,Catumbi
35,Cavalcanti
360,Cavalcanti
370,Centro
36,Centro
240,Cidade Nova
23,Cidade Nova
250,Cidade Universitaria
24,Cidade Universitária
20,Cidade de Deus
210,Cidade de Deus
380,Cocota
37,Cocotá
22,Coelho Neto
230,Coelho Neto
390,Colegio
38,Colégio
39,Copacabana
400,Copacabana
40,Cordovil
410,Cordovil
25,Cosme Velho
260,Cosme Velho
41,Cosmos
420,Cosmos
200,Costa Barros
19,Costa Barros
44,Curicica
450,Curicica
220,Curral Falso
174,Código não encontrado nos dicionários oficiais.
999997,Código não encontrado nos dicionários oficiais.
9997,Código não encontrado nos dicionários oficiais.
,Código não encontrado nos dicionários oficiais.
460,D CASTILHO
470,DENDE
480,DEODORO
490,DUMAS
45,Del Castilho
460,Del Castilho
470,Dende
480,Deodoro
47,Deodoro
48,Dumas
490,Dumas
500,E DENTRO
510,E LEAL
520,E NOVO
530,E RAINHA
540,ENCANTADO
550,ESTACIO
540,Encantado
53,Encantado
50,Engenheiro Leal
510,Engenheiro Leal
51,Engenho Novo
520,Engenho Novo
52,Engenho da Rainha
530,Engenho da Rainha
500,Engenho de Dentro
49,Engenho de Dentro
550,Estacio
54,Estácio
560,FLAMENGO
0,FORA DO RIO
580,FREG ILHA
590,FREG JACARE
570,FREGUESIA
55,Flamengo
560,Flamengo
56,Fora Rio
0,Fora do Estado do Rio de Janeiro
57,Freguesia
570,Freguesia (desativada na revisão feita na compet
580,Freguesia - Ilha do Governador
590,Freguesia - Jacarepagua
600,G AZUL
610,GALEAO
620,GAMBOA
630,GAVEA
640,GLORIA
650,GRAJAU
660,GRUMARI
670,GUADALUPE
680,GUARABU
690,GUARATIBA
59,Galeao
610,Galeao
620,Gamboa
60,Gamboa
600,Gardenia Azul
58,Gardênia Azul
630,Gavea
640,Gloria
62,Glória
650,Grajau
63,Grajaú
64,Grumari
660,Grumari
65,Guadalupe
670,Guadalupe
66,Guarabu
680,Guarabu
690,Guaratiba
67,Guaratiba
61,Gávea
700,H GURGEL
710,HIGIENOPOLI
720,HUMAITA
710,Higienopolis
69,Higienópolis
700,Honorio Gurgel
68,Honório Gurgel
720,Humaita
70,Humaitá
-1,IGNORADO
730,INHAUMA
740,INHOAIBA
750,IPANEMA
760,IRAJA
770,ITACOLOMI
780,ITANHANGA
790,IZADORA
-1,Ignorado
730,Inhauma
72,Inhaúma
740,Inhoaiba
73,Inhoaíba
74,Ipanema
750,Ipanema
760,Iraja
75,Irajá
770,Itacolomi
76,Itacolomi
780,Itanhanga
77,Itanhangá
78,Izadora
790,Izadora (desativada na revisão feita na competên
800,JACARE
810,JACAREPAGUA
820,JD AMERICA
830,JD BOTANICO
840,JD CARIOCA
850,JD GUANABAR
870,JD SULACAP
880,JOA
800,Jacare
810,Jacarepagua
80,Jacarepaguá
79,Jacaré
820,Jardim America
81,Jardim América
830,Jardim Botanico
82,Jardim Botânico
83,Jardim Carioca
840,Jardim Carioca
84,Jardim Guanabara
850,Jardim Guanabara
870,Jardim Sulacap
88,Jardim Sulacap
880,Joa
89,Joá
890,L VASCONCEL
900,LAGOA
910,LARANJEIRAS
920,LEBLON
930,LEME
940,LOT MADEAN
950,LOT S BENED
900,Lagoa
91,Lagoa
92,Laranjeiras
910,Laranjeiras
920,Leblon
93,Leblon
94,Leme
930,Leme
890,Lins de Vasconcelos
90,Lins de Vasconcelos
95,Loetamento Madean
940,Loteamento Madean
96,Loteamento Sao Benedito
950,Loteamento Sao Benedito (desativada na revisão f
960,M BASTOS
970,M GRACA
980,M HERMES
990,MADUREIRA
1000,MANGUEIRA
1010,MANGUINHOS
1020,MARACANA
1030,MARE
1040,MEIER
1050,MONERO
100,Madureira
990,Madureira
97,Magalhaes Bastos
960,Magalhaes Bastos
101,Mangueira
1000,Mangueira
102,Manguinhos
1010,Manguinhos
103,Maracana
1020,Maracana
1030,Mare
980,Marechal Hermes
99,Marechal Hermes
970,Maria da Graca
98,Maria da Graça
1040,Meier
1050,Monero
105,Moneró
104,Méier
1060,N S GRACAS
1060,Nossa Senhora das Gracas
106,Nossa Senhora das Graças
1070,O CRUZ
1080,OITICICA II
1090,OLARIA
9999,OUTROS RIO
108,Oiticica II
1080,Oiticica II (desativada na revisão feita na comp
109,Olaria
1090,Olaria
1070,Oswaldo Cruz
107,Oswaldo Cruz
110,Outros Municipios do Estado do Rio de Janeiro
9999,Outros Municipios do Rio de Janeiro
1100,P CIRCULAR
1110,P GUARATIBA
1120,P MIGUEL
1130,P N CIDADE
1140,PACIENCIA
1150,PAQUETA
1160,PAVUNA
1170,PC BANDEIRA
1180,PC SECA
1190,PDA LUCAS
1200,PECHINCHA
1210,PENHA
1220,PIEDADE
1230,PILARES
1240,PITANGUEIRA
1250,PORTUGUESA
1260,PR BANDEIRA
1270,PRQ ANCHIET
1140,Paciencia
115,Paciência
113,Padre Miguel
1120,Padre Miguel
1150,Paqueta
116,Paquetá
120,Parada de Lucas
1190,Parada de Lucas
128,Parque Anchieta
1270,Parque Anchieta
1160,Pavuna
117,Pavuna
1200,Pechincha
121,Pechincha
1110,Pedra de Guaratiba
112,Pedra de Guaratiba
122,Penha
1210,Penha
111,Penha Circular
1100,Penha Circular
1220,Piedade
123,Piedade
1230,Pilares
124,Pilares
125,Pitangueiras
1240,Pitangueiras
1250,Portuguesa
126,Portuguesa
1180,Praca Seca
1170,Praca da Bandeira
1260,Praia da Bandeira
119,Praça Seca
127,Praça da Bandeira
118,Praça da Bandeira
1130,Proletario Nova Cidade
1280,Q BOCAIUVA
1280,Quintino Bocaiuva
129,Quintino Bocaiúva
