chave,valor
7,Aclimacao
2,Agua Branca
3,Agua Fria
4,Agua Funda
5,Agua Rasa
11,Alto da Lapa
12,Alto da Mooca
15,Alto da Riviera
14,Alto de Pinheiros
13,Alto do Pari
6,Altos de Vila Prudente
8,Americanopolis
9,Anhanguera
10,Aricanduva
1,Artur Alvim
16,Avenida Aguas Espraiadas
23,Balneário Dom Carlos
24,Balneário Mar Paulista
25,Balneário São Francisco
26,Balneário São Jose
27,Baronesa
19,Barra Funda
28,Barragem
18,Barro Branco
17,Bela Alianca
22,Bela Vista
29,Belem
30,Belenzinho
31,Boacava
21,Bom Retiro
32,Borore
33,Bortolandia
37,Bosque da Saude
35,Brasilandia
20,Brooklin Novo
36,Brooklin Paulista
34,Brás
38,Burgo Paulista
39,Butanta
89,Cachoeirinha
90,Cambuci
91,Campininha
203,Campo Belo
204,Campo Grande
205,Campo Limpo
53,Campos Eliseos
92,Cangaiba
93,Caninde
94,Cantareira
76,Capao Redondo
54,Capao da Embira
82,Capela do Socorro
95,Carandiru
96,Carrao
57,Casa Grande
88,Casa Verde
84,Casa Verde Alta
85,Casa Verde Baixa
86,Casa Verde Media
97,Catumbi
98,Caxingui
99,Centro
47,Cerqueira Cesar
147,Chapada
67,Chora Menino
101,Chácara Bandeirantes
102,Chácara Belenzinho
103,Chácara Bosque do Sul
105,Chácara California
106,Chácara Cocaia
104,Chácara Cruzeiro do Sul
108,Chácara Dona Olivia
111,Chácara Figueira Grande
112,Chácara Flora
113,Chácara Florida
114,Chácara Gaivota
115,Chácara Inglesa
116,Chácara Itaim
117,Chácara Japonesa
118,Chácara Jaragua
120,Chácara Mafalda
119,Chácara Maria Trindade
121,Chácara Meyer
123,Chácara Monte Alegre
124,Chácara Monte Sol
122,Chácara Morro Alto
127,Chácara Nani
125,Chácara Nossa Senhora Aparecida
126,Chácara Nossa Senhora do Bom Cons
130,Chácara Paiva
132,Chácara Pirajussara
128,Chácara Pouso Alegre
136,Chácara Santa Etelvina
140,Chácara Santa Maria
142,Chácara Santana
133,Chácara Santo Amaro
134,Chácara Santo Antonio
137,Chácara Santo Hubertus
100,Chácara Seis de Outubro
135,Chácara Sonho Azul
138,Chácara São Joao
139,Chácara São Luis
141,Chácara São Silvestre
144,Chácara Tatuape
143,Chácara Tres Meninas
145,Chácara Vista Alegre
146,Chácara Vovo
110,Chácara da Enseada
107,Chácara das Corujas
129,Chácara das Paineiras
131,Chácara das Palmeiras
109,Chácara do Encosto
41,Cidade Ademar
40,Cidade Antonio Estevao de Carvalh
43,Cidade Auxiliadora
46,Cidade Centenario
48,Cidade Continental
50,Cidade D'abril
51,Cidade Domitila
52,Cidade Dutra
56,Cidade Fim de Semana
58,Cidade Ipava
59,Cidade Jardim
60,Cidade Julia
61,Cidade Kemel
62,Cidade Leonor
63,Cidade Lider
64,Cidade Mae do Ceu
68,Cidade Moncoes
65,Cidade Munhoz Junior
73,Cidade Nautica
70,Cidade Nitro Operaria
71,Cidade Nitro Quimica
69,Cidade Nova Heliopolis
72,Cidade Nova São Miguel
74,Cidade Patriarca
75,Cidade Popular
81,Cidade Satelite
80,Cidade Satelite Santa Barbara
77,Cidade São Francisco
78,Cidade São Mateus
79,Cidade São Miguel
83,Cidade Tiradentes
87,Cidade Vargas
44,Cidade dos Bandeirantes
66,Cipo do Meio
42,City America
45,Clube Campestre de São Paulo
49,Clube de Campo Kibom
55,Clube dos Funcionarios Publicos C
200,Colonia
150,Conjunto Habitacional Aguia de Ha
155,Conjunto Habitacional Barreira Gr
152,Conjunto Habitacional Barro Branc
151,Conjunto Habitacional Barro Branc
154,Conjunto Habitacional Brigadeiro
153,Conjunto Habitacional Brigadeiro
156,Conjunto Habitacional Castro Alve
158,Conjunto Habitacional Inacio Mont
157,Conjunto Habitacional Instituto A
162,Conjunto Habitacional Jardim Sant
163,Conjunto Habitacional Jardim São
161,Conjunto Habitacional Jardim São
160,Conjunto Habitacional Jova Rural
159,Conjunto Habitacional Juscelino K
164,Conjunto Habitacional Marechal Ma
165,Conjunto Habitacional Padre Jose
167,Conjunto Habitacional Padre Manoe
166,Conjunto Habitacional Padre Manoe
168,Conjunto Habitacional Pirajussara
169,Conjunto Habitacional Recanto dos
170,Conjunto Habitacional Santa Etelv
172,Conjunto Habitacional Santa Etelv
171,Conjunto Habitacional Santa Etelv
173,Conjunto Habitacional Sítio Carag
174,Conjunto Habitacional Sítio Conce
175,Conjunto Habitacional Teotonio Vi
176,Conjunto Habitacional Vila Nova C
149,Conjunto Habitacional a e Carvalh
177,Conjunto Promorar Estrada da Para
179,Conjunto Promorar Raposo Tavares
178,Conjunto Promorar Rio Claro
181,Conjunto Promorar Sapopemba
180,Conjunto Promorar São Luis
182,Conjunto Promorar Vila Maria III
183,Conjunto Residencial Alpes do Jar
184,Conjunto Residencial Bandeirantes
185,Conjunto Residencial Butanta
186,Conjunto Residencial Elisio Teixe
187,Conjunto Residencial Ingai
189,Conjunto Residencial Jardim Canaa
188,Conjunto Residencial Jose Bonifac
190,Conjunto Residencial Morumbi
191,Conjunto Residencial Novo Pacaemb
193,Conjunto Residencial Paraiso
194,Conjunto Residencial Pinheirinho
192,Conjunto Residencial Prestes Maia
197,Conjunto Residencial Salvador Tol
195,Conjunto Residencial Santa Maria
196,Conjunto Residencial Santa Terezi
198,Conjunto Residencial Sítio Orator
199,Conjunto Residencial Vista Verde
148,Conjunto dos Bancarios
201,Consolacao
202,Copacabana
206,Cupece
207,Cursino
2003,Código não encontrado nos dicionários oficiais.
2020,Código não encontrado nos dicionários oficiais.
2135,Código não encontrado nos dicionários oficiais.
3360,Código não encontrado nos dicionários oficiais.
3590,Código não encontrado nos dicionários oficiais.
3620,Código não encontrado nos dicionários oficiais.
3808,Código não encontrado nos dicionários oficiais.
5207,Código não encontrado nos dicionários oficiais.
5290,Código não encontrado nos dicionários oficiais.
5614,Código não encontrado nos dicionários oficiais.
6050,Código não encontrado nos dicionários oficiais.
6130,Código não encontrado nos dicionários oficiais.
6718,Código não encontrado nos dicionários oficiais.
6882,Código não encontrado nos dicionários oficiais.
7277,Código não encontrado nos dicionários oficiais.
7404,Código não encontrado nos dicionários oficiais.
8583,Código não encontrado nos dicionários oficiais.
9091,Código não encontrado nos dicionários oficiais.
9792,Código não encontrado nos dicionários oficiais.
9822,Código não encontrado nos dicionários oficiais.
10243,Código não encontrado nos dicionários oficiais.
11169,Código não encontrado nos dicionários oficiais.
11762,Código não encontrado nos dicionários oficiais.
11878,Código não encontrado nos dicionários oficiais.
11967,Código não encontrado nos dicionários oficiais.
12238,Código não encontrado nos dicionários oficiais.
13536,Código não encontrado nos dicionários oficiais.
14745,Código não encontrado nos dicionários oficiais.
15393,Código não encontrado nos dicionários oficiais.
2518,Código não encontrado nos dicionários oficiais.
2887,Código não encontrado nos dicionários oficiais.
3689,Código não encontrado nos dicionários oficiais.
4022,Código não encontrado nos dicionários oficiais.
4235,Código não encontrado nos dicionários oficiais.
4600,Código não encontrado nos dicionários oficiais.
4987,Código não encontrado nos dicionários oficiais.
5932,Código não encontrado nos dicionários oficiais.
6025,Código não encontrado nos dicionários oficiais.
6343,Código não encontrado nos dicionários oficiais.
6815,Código não encontrado nos dicionários oficiais.
6874,Código não encontrado nos dicionários oficiais.
7110,Código não encontrado nos dicionários oficiais.
7196,Código não encontrado nos dicionários oficiais.
7692,Código não encontrado nos dicionários oficiais.
7773,Código não encontrado nos dicionários oficiais.
7935,Código não encontrado nos dicionários oficiais.
8370,Código não encontrado nos dicionários oficiais.
8680,Código não encontrado nos dicionários oficiais.
9385,Código não encontrado nos dicionários oficiais.
9806,Código não encontrado nos dicionários oficiais.
10863,Código não encontrado nos dicionários oficiais.
10910,Código não encontrado nos dicionários oficiais.
10979,Código não encontrado nos dicionários oficiais.
11592,Código não encontrado nos dicionários oficiais.
12106,Código não encontrado nos dicionários oficiais.
12530,Código não encontrado nos dicionários oficiais.
12556,Código não encontrado nos dicionários oficiais.
13471,Código não encontrado nos dicionários oficiais.
13919,Código não encontrado nos dicionários oficiais.
14907,Código não encontrado nos dicionários oficiais.
14958,Código não encontrado nos dicionários oficiais.
15741,Código não encontrado nos dicionários oficiais.
1899,Código não encontrado nos dicionários oficiais.
2011,Código não encontrado nos dicionários oficiais.
2437,Código não encontrado nos dicionários oficiais.
2488,Código não encontrado nos dicionários oficiais.
2704,Código não encontrado nos dicionários oficiais.
4561,Código não encontrado nos dicionários oficiais.
6033,Código não encontrado nos dicionários oficiais.
7153,Código não encontrado nos dicionários oficiais.
7552,Código não encontrado nos dicionários oficiais.
7560,Código não encontrado nos dicionários oficiais.
7862,Código não encontrado nos dicionários oficiais.
8354,Código não encontrado nos dicionários oficiais.
8818,Código não encontrado nos dicionários oficiais.
9083,Código não encontrado nos dicionários oficiais.
9857,Código não encontrado nos dicionários oficiais.
10502,Código não encontrado nos dicionários oficiais.
11002,Código não encontrado nos dicionários oficiais.
11436,Código não encontrado nos dicionários oficiais.
11770,Código não encontrado nos dicionários oficiais.
12491,Código não encontrado nos dicionários oficiais.
13137,Código não encontrado nos dicionários oficiais.
13226,Código não encontrado nos dicionários oficiais.
13838,Código não encontrado nos dicionários oficiais.
14095,Código não encontrado nos dicionários oficiais.
14460,Código não encontrado nos dicionários oficiais.
14796,Código não encontrado nos dicionários oficiais.
15334,Código não encontrado nos dicionários oficiais.
15997,Código não encontrado nos dicionários oficiais.
16667,Código não encontrado nos dicionários oficiais.
18457,Código não encontrado nos dicionários oficiais.
18619,Código não encontrado nos dicionários oficiais.
2070,Código não encontrado nos dicionários oficiais.
2712,Código não encontrado nos dicionários oficiais.
2925,Código não encontrado nos dicionários oficiais.
3336,Código não encontrado nos dicionários oficiais.
5096,Código não encontrado nos dicionários oficiais.
5339,Código não encontrado nos dicionários oficiais.
5827,Código não encontrado nos dicionários oficiais.
6467,Código não encontrado nos dicionários oficiais.
7986,Código não encontrado nos dicionários oficiais.
8443,Código não encontrado nos dicionários oficiais.
8974,Código não encontrado nos dicionários oficiais.
8990,Código não encontrado nos dicionários oficiais.
9016,Código não encontrado nos dicionários oficiais.
10677,Código não encontrado nos dicionários oficiais.
10871,Código não encontrado nos dicionários oficiais.
11231,Código não encontrado nos dicionários oficiais.
11460,Código não encontrado nos dicionários oficiais.
11690,Código não encontrado nos dicionários oficiais.
12009,Código não encontrado nos dicionários oficiais.
12335,Código não encontrado nos dicionários oficiais.
12408,Código não encontrado nos dicionários oficiais.
13005,Código não encontrado nos dicionários oficiais.
13080,Código não encontrado nos dicionários oficiais.
13153,Código não encontrado nos dicionários oficiais.
14060,Código não encontrado nos dicionários oficiais.
14150,Código não encontrado nos dicionários oficiais.
14940,Código não encontrado nos dicionários oficiais.
15121,Código não encontrado nos dicionários oficiais.
15482,Código não encontrado nos dicionários oficiais.
15857,Código não encontrado nos dicionários oficiais.
18511,Código não encontrado nos dicionários oficiais.
18902,Código não encontrado nos dicionários oficiais.
2119,Código não encontrado nos dicionários oficiais.
2585,Código não encontrado nos dicionários oficiais.
4375,Código não encontrado nos dicionários oficiais.
4979,Código não encontrado nos dicionários oficiais.
5118,Código não encontrado nos dicionários oficiais.
5991,Código não encontrado nos dicionários oficiais.
6670,Código não encontrado nos dicionários oficiais.
7013,Código não encontrado nos dicionários oficiais.
7455,Código não encontrado nos dicionários oficiais.
7730,Código não encontrado nos dicionários oficiais.
7870,Código não encontrado nos dicionários oficiais.
8397,Código não encontrado nos dicionários oficiais.
8850,Código não encontrado nos dicionários oficiais.
8885,Código não encontrado nos dicionários oficiais.
9288,Código não encontrado nos dicionários oficiais.
9431,Código não encontrado nos dicionários oficiais.
10219,Código não encontrado nos dicionários oficiais.
10286,Código não encontrado nos dicionários oficiais.
10537,Código não encontrado nos dicionários oficiais.
11266,Código não encontrado nos dicionários oficiais.
11576,Código não encontrado nos dicionários oficiais.
11649,Código não encontrado nos dicionários oficiais.
11789,Código não encontrado nos dicionários oficiais.
11860,Código não encontrado nos dicionários oficiais.
13315,Código não encontrado nos dicionários oficiais.
13331,Código não encontrado nos dicionários oficiais.
15199,Código não encontrado nos dicionários oficiais.
15644,Código não encontrado nos dicionários oficiais.
15750,Código não encontrado nos dicionários oficiais.
18970,Código não encontrado nos dicionários oficiais.
2232,Código não encontrado nos dicionários oficiais.
3450,Código não encontrado nos dicionários oficiais.
3964,Código não encontrado nos dicionários oficiais.
4464,Código não encontrado nos dicionários oficiais.
4804,Código não encontrado nos dicionários oficiais.
5320,Código não encontrado nos dicionários oficiais.
6173,Código não encontrado nos dicionários oficiais.
6858,Código não encontrado nos dicionários oficiais.
7030,Código não encontrado nos dicionários oficiais.
7188,Código não encontrado nos dicionários oficiais.
7323,Código não encontrado nos dicionários oficiais.
7471,Código não encontrado nos dicionários oficiais.
8303,Código não encontrado nos dicionários oficiais.
8427,Código não encontrado nos dicionários oficiais.
8907,Código não encontrado nos dicionários oficiais.
9660,Código não encontrado nos dicionários oficiais.
9741,Código não encontrado nos dicionários oficiais.
12033,Código não encontrado nos dicionários oficiais.
12190,Código não encontrado nos dicionários oficiais.
12564,Código não encontrado nos dicionários oficiais.
12700,Código não encontrado nos dicionários oficiais.
12793,Código não encontrado nos dicionários oficiais.
12912,Código não encontrado nos dicionários oficiais.
14184,Código não encontrado nos dicionários oficiais.
14206,Código não encontrado nos dicionários oficiais.
14630,Código não encontrado nos dicionários oficiais.
14923,Código não encontrado nos dicionários oficiais.
15733,Código não encontrado nos dicionários oficiais.
16586,Código não encontrado nos dicionários oficiais.
17353,Código não encontrado nos dicionários oficiais.
17469,Código não encontrado nos dicionários oficiais.
3093,Código não encontrado nos dicionários oficiais.
3573,Código não encontrado nos dicionários oficiais.
3778,Código não encontrado nos dicionários oficiais.
4405,Código não encontrado nos dicionários oficiais.
5703,Código não encontrado nos dicionários oficiais.
5754,Código não encontrado nos dicionários oficiais.
5967,Código não encontrado nos dicionários oficiais.
6203,Código não encontrado nos dicionários oficiais.
6220,Código não encontrado nos dicionários oficiais.
6432,Código não encontrado nos dicionários oficiais.
