cnae_1,descricao,grupo,descricao_grupo,divisao,descricao_divisao,secao,descricao_secao
01155,Cultivo de soja,01.1,Produção de lavouras temporárias,01,"Agricultura, pecuária e serviços relacionados",A,"Agricultura, pecuária, silvicultura e exploração florestal"
01147,Cultivo de fumo,01.1,Produção de lavouras temporárias,01,"Agricultura, pecuária e serviços relacionados",A,"Agricultura, pecuária, silvicultura e exploração florestal"
01112,Cultivo de cereais para grãos,01.1,Produção de lavouras temporárias,01,"Agricultura, pecuária e serviços relacionados",A,"Agricultura, pecuária, silvicultura e exploração florestal"
01120,Cultivo de algodão herbáceo,01.1,Produção de lavouras temporárias,01,"Agricultura, pecuária e serviços relacionados",A,"Agricultura, pecuária, silvicultura e exploração florestal"
01198,Cultivo de outros produtos de lavoura temporária,01.1,Produção de lavouras temporárias,01,"Agricultura, pecuária e serviços relacionados",A,"Agricultura, pecuária, silvicultura e exploração florestal"
01139,Cultivo de cana-de açúcar,01.1,Produção de lavouras temporárias,01,"Agricultura, pecuária e serviços relacionados",A,"Agricultura, pecuária, silvicultura e exploração florestal"
01228,"Cultivo de flores, plantas ornamentais e produtos de viveiro",01.2,Horticultura e produtos de viveiro,01,"Agricultura, pecuária e serviços relacionados",A,"Agricultura, pecuária, silvicultura e exploração florestal"
01210,"Cultivo de hortaliças, legumes e outros produtos da horticultura",01.2,Horticultura e produtos de viveiro,01,"Agricultura, pecuária e serviços relacionados",A,"Agricultura, pecuária, silvicultura e exploração florestal"
01392,Cultivo de outros produtos de lavoura permanente,01.3,Produção de lavouras permanentes,01,"Agricultura, pecuária e serviços relacionados",A,"Agricultura, pecuária, silvicultura e exploração florestal"
01341,Cultivo de uva,01.3,Produção de lavouras permanentes,01,"Agricultura, pecuária e serviços relacionados",A,"Agricultura, pecuária, silvicultura e exploração florestal"
01317,Cultivo de frutas cítricas,01.3,Produção de lavouras permanentes,01,"Agricultura, pecuária e serviços relacionados",A,"Agricultura, pecuária, silvicultura e exploração florestal"
01325,Cultivo de café,01.3,Produção de lavouras permanentes,01,"Agricultura, pecuária e serviços relacionados",A,"Agricultura, pecuária, silvicultura e exploração florestal"
01333,Cultivo de cacau,01.3,Produção de lavouras permanentes,01,"Agricultura, pecuária e serviços relacionados",A,"Agricultura, pecuária, silvicultura e exploração florestal"
01449,Criação de suínos,01.4,Pecuária,01,"Agricultura, pecuária e serviços relacionados",A,"Agricultura, pecuária, silvicultura e exploração florestal"
01422,Criação de outros animais de grande porte,01.4,Pecuária,01,"Agricultura, pecuária e serviços relacionados",A,"Agricultura, pecuária, silvicultura e exploração florestal"
01457,Criação de aves,01.4,Pecuária,01,"Agricultura, pecuária e serviços relacionados",A,"Agricultura, pecuária, silvicultura e exploração florestal"
01465,Criação de outros animais,01.4,Pecuária,01,"Agricultura, pecuária e serviços relacionados",A,"Agricultura, pecuária, silvicultura e exploração florestal"
01414,Criação de bovinos,01.4,Pecuária,01,"Agricultura, pecuária e serviços relacionados",A,"Agricultura, pecuária, silvicultura e exploração florestal"
01430,Criação de ovinos,01.4,Pecuária,01,"Agricultura, pecuária e serviços relacionados",A,"Agricultura, pecuária, silvicultura e exploração florestal"
01503,Produção mista: lavoura e pecuária,01.5,Produção mista: lavoura e pecuária,01,"Agricultura, pecuária e serviços relacionados",A,"Agricultura, pecuária, silvicultura e exploração florestal"
01627,"Atividades de serviços relacionados com a pecuária, exceto atividades veterinárias",01.6,"Atividades de serviços relacionados com a agricultura e a pecuária, exceto atividades veterinárias",01,"Agricultura, pecuária e serviços relacionados",A,"Agricultura, pecuária, silvicultura e exploração florestal"
01619,Atividades de serviços relacionados com a agricultura,01.6,"Atividades de serviços relacionados com a agricultura e a pecuária, exceto atividades veterinárias",01,"Agricultura, pecuária e serviços relacionados",A,"Agricultura, pecuária, silvicultura e exploração florestal"
01708,"Caça, repovoamento cinegético e serviços relacionados",01.7,"Caça, repovoamento cinegético e serviços relacionados",01,"Agricultura, pecuária e serviços relacionados",A,"Agricultura, pecuária, silvicultura e exploração florestal"
02127,Exploração florestal,02.1,"Silvicultura, exploração florestal e serviços relacionados",02,"Silvicultura, exploração florestal e serviços relacionados",A,"Agricultura, pecuária, silvicultura e exploração florestal"
02135,Atividades de serviços relacionados com a silvicultura e a exploração florestal,02.1,"Silvicultura, exploração florestal e serviços relacionados",02,"Silvicultura, exploração florestal e serviços relacionados",A,"Agricultura, pecuária, silvicultura e exploração florestal"
02119,Silvicultura,02.1,"Silvicultura, exploração florestal e serviços relacionados",02,"Silvicultura, exploração florestal e serviços relacionados",A,"Agricultura, pecuária, silvicultura e exploração florestal"
05118,Pesca e serviços relacionados,05.1,"Pesca, aqüicultura e serviços relacionados",05,"Pesca, aqüicultura e serviços relacionados",B,Pesca
05126,Aqüicultura e serviços relacionados,05.1,"Pesca, aqüicultura e serviços relacionados",05,"Pesca, aqüicultura e serviços relacionados",B,Pesca
10006,Extração de carvão mineral,10.0,Extração de carvão mineral,10,Extração de carvão mineral,C,Indústrias extrativas
11100,Extração de petróleo e gás natural,11.1,Extração de petróleo e gás natural,11,Extração de petróleo e serviços relacionados,C,Indústrias extrativas
11207,Atividades de serviços relacionados com a extração de petróleo e gás - exceto a prospecção realizada por terceiros,11.2,Atividades de serviços relacionados com a extração de petróleo e gás - exceto a prospecção realizada por terceiros,11,Extração de petróleo e serviços relacionados,C,Indústrias extrativas
13102,Extração de minério de ferro,13.1,Extração de minério de ferro,13,Extração de minerais metálicos,C,Indústrias extrativas
13242,Extração de minério de metais preciosos,13.2,Extração de minerais metálicos não-ferrosos,13,Extração de minerais metálicos,C,Indústrias extrativas
13293,Extração de outros minerais metálicos não-ferrosos,13.2,Extração de minerais metálicos não-ferrosos,13,Extração de minerais metálicos,C,Indústrias extrativas
13218,Extração de minério de alumínio,13.2,Extração de minerais metálicos não-ferrosos,13,Extração de minerais metálicos,C,Indústrias extrativas
13250,Extração de minerais radioativos,13.2,Extração de minerais metálicos não-ferrosos,13,Extração de minerais metálicos,C,Indústrias extrativas
13234,Extração de minério de manganês,13.2,Extração de minerais metálicos não-ferrosos,13,Extração de minerais metálicos,C,Indústrias extrativas
13226,Extração de minério de estanho,13.2,Extração de minerais metálicos não-ferrosos,13,Extração de minerais metálicos,C,Indústrias extrativas
14109,"Extração de pedra, areia e argila",14.1,"Extração de pedra, areia e argila",14,Extração de minerais não-metálicos,C,Indústrias extrativas
14222,Extração e refino de sal marinho e sal-gema,14.2,Extração de outros minerais não-metálicos,14,Extração de minerais não-metálicos,C,Indústrias extrativas
14290,Extração de outros minerais não-metálicos,14.2,Extração de outros minerais não-metálicos,14,Extração de minerais não-metálicos,C,Indústrias extrativas
14214,"Extração de minerais para fabricação de adubos, fertilizantes e produtos químicos",14.2,Extração de outros minerais não-metálicos,14,Extração de minerais não-metálicos,C,Indústrias extrativas
