chave,valor
30,Alemã
60,Angolano
21,Argentina
31,Belga
59,Bengalesa
22,Boliviana
10,Brasileira
32,Britânica
34,Canadense
23,Chilena
42,Chinesa
27,Colombiano
61,Congolês
43,Coreana
54,Cubano
0,Código não encontrado nos dicionários oficiais.
{ñ,Código não encontrado nos dicionários oficiais.
29,Equatoriano
35,Espanhola
37,Francesa
63,Ganesa
52,Guine Bissau (Guineense)
40,Haitiano
-1,Ignorado
47,Indiano
39,Italiana
41,Japonesa
53,Marroquino
20,Naturalidade Brasileira
36,Norte-Americana
65,Norte-Coreana
49,Outras Asiáticas
48,Outras Latino-Americanas
50,Outras Nacionalidades
80,Outros
70,Outros Africanos
51,Outros Europeus
46,Paquistanês
24,Paraguaia
28,Peruano
45,Portuguesa
44,Russo
64,Senegalesa
55,Sirio
62,Sul-Africano
56,Sul-Coreano
38,Suíça
25,Uruguaia
26,Venezuelano
