chave,valor
1,BRASILIA
17,BRAZLANDIA
1,Brasília
17,Brazlandia
9,CANDANGOLAND
12,CEILANDIA
2,CRUZEIRO
9,Candangolândia
12,Ceilândia
2,Cruzeiro
9999,Código não encontrado nos dicionários oficiais.
999997,Código não encontrado nos dicionários oficiais.
9997,Código não encontrado nos dicionários oficiais.
,Código não encontrado nos dicionários oficiais.
0,Fora do Distrito Federal
14,GAMA
3,GUARA
14,Gama
3,Guará
-1,Ignorado
4,LAGO NORTE
6,LAGO SUL
4,Lago Norte
6,Lago Sul
8,NUCLEO BAND
8,Núcleo Bandeirante
5,PARANOA
19,PLANALTINA
5,Paranoá
19,Planaltina
16,REC DAS EMAS
10,RIACHO FUNDO
16,Recanto das Emas
10,Riacho Fundo
13,SAMAMBAIA
15,SANTA MARIA
7,SAO SEBAST
18,SOBRADINHO
13,Samambaia
15,Santa Maria
18,Sobradinho
7,São Sebastião
11,TAGUATINGA
11,Taguatinga
,{ñ class}
