chave,valor
2620,"Abate animais em matadouros, frigorifico"
2460,"Acabamentos de fios e tecidos, nao processados em fiaçoes"
5450,Administracao de condominios
4610,Administracao e locacao de imoveis
7023,Aeronautica
110,Agricultura e silvicultura
5120,Alimentacao - restaurantes lanchonetes
5110,"Alojamento - hoteis, moteis e pensoes"
360,Aquicultura e piscicultura
4192,Artefatos de borracha e plastico - exclusive para veículos
4190,Artigos diversos - artefatos de couro e similares
4390,Artigos diversos - couros preparados e artefatos de couro
4365,Artigos do vestuario e de armarinho e calçados
4195,Artigos usados
4395,Artigos usados para recup industrial - sucata de metais
6110,Assistencia social - associacoes beneficente
4375,"Bebidas, fumo e estimulantes"
2410,"Benef fibras texteis vegetais, artificiais, sintéticas e de origem ..."
1810,Beneficiamento da borracha natural
1080,Beneficiamento e preparacao de minerais nao metálicos
2600,"Beneficiamento, moagem, torrefacao e fabric de produtos alimentares"
4640,Bolsas de valores comercio e titulos de valores
1010,Britamento e aparelhamento de pedras
3530,"Captacao, tratam, distrib de agua potavel e coleta e tratamento de ..."
210,Coleta de produtos vegetais nao-cultivados
4155,Combustiveis e lubrificantes - postos de gasolina
4355,Combustiveis e lubrificantes de origem vegetal e mineral
4620,Compra e venda de imoveis
4830,"Comunicacoes tefefonicas - serv comun locais, interurb e internacio..."
4820,Comunicacoes telegraficas - serv comun telgraf de qq natureza
4650,Concessionarios de loterias exclusive agencias lotéricas
2550,Confec artefat divers de tecid- excl os produzid nas fiaçoes e tece...
2510,"Confecçao de roupas, agasalhos e peças interiores do vestuário"
5320,Confecçao sob medida e reparacao de artigos do vestuário
1310,Constr de maq e aparelhos p/ producao e distribuiçao de energia ele...
1410,Constr e reparacao de embarcacoes
1420,"Constr, montagem e reparacao de veiculos"
3490,Construçao civil em geral
3470,"Construçao de galerias, condutos de agua e esgoto"
3440,Construçao reforma ampliacao reparacao e demoliçao de edifícios
1470,"Construçao, montagem e reparacao de avioes"
