chave,valor
13,Exercício descentralizado de servidor oriundo do mesmo órgão/entidade ou de outro órgão/entidade
10,Exercício provisório ou exercício descentralizado de servidor oriundo do mesmo órgão/entidade ou de outro órgão/entidade
-1,IGNORADO
0,Não Admitido Ano
5,OUTROS
1,Primeiro Emprego
11,Readaptação (específico para servidor público)
7,Recondução
12,Redistribuição (específico para servidor público)
2,Reemprego
6,Reintegração
14,Remoção (específico para servidor público)
9,Requisição
8,Reversão
3,Transferência com Ônus
4,Transferência sem Ônus
