chave,valor
55,APREND CONTR
40,AVULSO
1,CLT
75,CLT R/PF DET
25,CLT R/PF IND
70,CLT R/PJ DET
20,CLT R/PJ IND
65,CLT U/PF DET
15,CLT U/PF IND
60,CLT U/PJ DET
10,CLT U/PJ IND
96,CONT LEI EST
97,CONT LEI MUN
90,CONT PRZ DET
95,CONT TMP DET
999,Código não encontrado nos dicionários oficiais.
99,Código não encontrado nos dicionários oficiais.
80,DIRETOR
35,ESTAT N/EFET
31,ESTAT RGPS
30,ESTATUTARIO
2,ESTATUTÁRIO
-1,IGNORADO
,NÃO CLASSIFICADO
5,OUTROS
50,TEMPORARIO
50,TEMPORARIO/FIXO
3,TRABALHADOR AVULSO
4,TRABALHADOR TEMP
